id,show_id,type,title,director,year_film,rating,duration,listed_in,description
2819,70261273,Movie,JOAN RIVERS: DON'T START WITH ME,Scott L. Montoya,2012,TV-MA,69 min,Stand-Up Comedy,"At 78, Joan Rivers has no interest in slowing down, and no one's immune from her caustic barbs in this stand-up special."
2820,70250364,Movie,KATT WILLIAMS: KATTPACALYPSE,Marcus Raboy,2012,NR,61 min,Stand-Up Comedy,"Urban comic Katt Williams ushers in Kattpacalypse, exploding with more energy than an atomic bomb and riffing on everything from Doomsday to Obama."
2821,80198632,Movie,MISSION OF HONOR,David Blair,2019,TV-MA,107 min,"Action & Adventure, Dramas","As Hitler's Nazis threaten to take command of Britain's skies, a squadron of Polish pilots arrives to aid the Royal Air Force against a mutual enemy."
2822,70143241,Movie,THE CROODS,"Kirk De Micco, Chris Sanders",2013,PG,99 min,"Children & Family Movies, Comedies","When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home."
2824,70278933,Movie,HER,Spike Jonze,2013,R,126 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy",Love comes to a lonely writer in the sleekest of packages when he finds himself falling for the advanced operating system he bought to run his life.
2825,80093198,Movie,TALLULAH,Sian Heder,2016,TV-MA,112 min,"Dramas, Independent Movies","While searching for her ex-boyfriend, a young drifter impulsively kidnaps a baby from a neglectful mother and pretends the child is her own."
2826,81018141,Movie,DA KATH & KIM CODE,Ted Emery,2005,TV-14,82 min,Movies,"Kath and Kel's union is tested by Michael Bublé, daughter Kim tries pole dancing, pal Sharon finds love online, and a stalker lurks amid Yuletide cheer."
2827,81015524,Movie,KATH & KIMDERELLA,Ted Emery,2012,TV-14,86 min,Comedies,"Chipper baby boomer Kath, diva daughter Kim and hapless pal Sharon visit Papilloma, Italy, where a royal romance and knockoff fashions await."
2828,70124965,Movie,THE COMPANY MEN,John Wells,2010,R,105 min,"Dramas, Independent Movies",A successful businessman comes face-to-face with America's downsizing epidemic when he loses his job and is forced to take a construction gig.
2829,80999107,Movie,THE FLYING GUILLOTINE,Meng Hua Ho,1975,TV-MA,101 min,"Action & Adventure, Dramas, International Movies","In Qing-dynasty China, the emperor commands that a weapon be invented to kill at a distance without a trace. Then he orders it used on its wielders."
2830,80992365,Movie,THE MANSION,Tony Datis,2017,TV-MA,100 min,"Comedies, Horror Movies, International Movies","A group of students celebrates New Year's at a remote Belgian estate, where their substance-fueled revelry soon descends into a bloodstained nightmare."
2831,80092926,TV Show,DAUGHTERS OF DESTINY,Vanessa Roth,2017,TV-PG,1 Season,Docuseries,Five girls from India's most impoverished families attend a boarding school designed to create opportunities as they strive for a brighter future.
2832,80195835,Movie,DIANA: 7 DAYS THAT SHOOK THE WORLD,Ben Ryder,2017,TV-PG,93 min,Documentaries,"This illuminating documentary examines the aftermath of Princess Diana’s tragic death and the tense, dramatic week leading up to her funeral."
2833,80171022,Movie,THE INCREDIBLE JESSICA JAMES,Jim Strouse,2017,TV-MA,84 min,"Comedies, Independent Movies, Romantic Movies","Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date."
2834,80192135,Movie,COCO Y RAULITO: CARRUSEL DE TERNURA,"Raúl Campos, Jan Suter",2018,TV-MA,57 min,Stand-Up Comedy,"A study in contrasts, comedy partners and good friends Coco Celis and Raúl Meneses alternate separate stand-up sets for double the laughs."
2835,80236421,Movie,EXTINCTION,Ben Young,2018,TV-MA,95 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy","Plagued by dreams of an alien invasion, a family man faces his worst nightmare when an extraterrestrial force begins exterminating Earth's inhabitants."
2837,80170862,Movie,THE BLEEDING EDGE,Kirby Dick,2018,TV-14,101 min,Documentaries,This eye-opening look at the fast-growing medical device industry reveals how the rush to innovate can lead to devastating consequences for patients.
2839,81092331,Movie,1ST SUMMONING,Raymond Wood,2018,TV-MA,94 min,"Horror Movies, Independent Movies","Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think."
2840,80173485,Movie,BOI,Jorge M. Fontana,2018,TV-MA,111 min,"Dramas, Independent Movies, International Movies",A young chauffeur who's at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.
2841,81028404,Movie,EERIE,Mikhail Red,2019,TV-14,100 min,"Horror Movies, International Movies","When a student's suicide rattles an all-girls Catholic school, a clairvoyant guidance counselor leans on a ghost to uncover the convent's abusive past."
2843,80198508,Movie,GIRLS WITH BALLS,Olivier Afonso,2019,TV-MA,77 min,"Comedies, Horror Movies, International Movies","Stranded in the woods and eyeballed by twisted hunters, members of a women’s volleyball team bump it up in the most dangerous game of their lives."
2844,80228239,Movie,GUY MARTIN: LAST FLIGHT OF THE VULCAN BOMBER,James Woodroffe,2015,TV-G,57 min,"Documentaries, International Movies",Guy Martin assists in preparing the last airworthy Vulcan bomber for a farewell tour while revealing the stories behind the iconic aircraft.
2847,81032669,TV Show,MONTY DON'S FRENCH GARDENS,Rachel Bell,2013,TV-G,1 Season,"British TV Shows, Docuseries, International TV Shows","TV personality Monty Don visits France’s most famous gardens to dig up the influence of power, culture and passion on their conceptions and designs."
