id,year_film,year_award,ceremony,category,nominee,title,win
101,1950,1951,8,Best Screenplay - Motion Picture,"Charles Brackett, Billy Wilder, D. M. Marshman Jr.",SUNSET BOULEVARD,False
102,1950,1951,8,Best Screenplay - Motion Picture,"Ben Maddow, John Huston",THE ASPHALT JUNGLE,False
103,1950,1951,8,Best Original Score - Motion Picture,Franz Waxman,SUNSET BOULEVARD,True
104,1950,1951,8,Best Original Score - Motion Picture,Leith Stevens,DESTINATION MOON,False
105,1950,1951,8,Best Original Score - Motion Picture,Bronislau Kaper,A LIFE OF HER OWN,False
106,1950,1951,8,Promoting International Understanding,Delmer Daves,BROKEN ARROW,True
107,1950,1951,8,Promoting International Understanding,George Seaton,THE BIG LIFT,False
108,1950,1951,8,Promoting International Understanding,William A. Wellman,THE NEXT VOICE YOU HEAR...,False
109,1950,1951,8,New Star Of The Year,Gene Nelson,TEA FOR TWO,True
110,1950,1951,8,New Star Of The Year,Mala Powers,CYRANO DE BERGERAC (1950),False
111,1950,1951,8,New Star Of The Year,Debbie Reynolds,THREE LITTLE WORDS,False
112,1950,1951,8,Picture,Sunset Boulevard,SUNSET BOULEVARD,True
113,1950,1951,8,Picture,Born Yesterday,BORN YESTERDAY,False
114,1950,1951,8,Picture,Cyrano de Bergerac (1950),CYRANO DE BERGERAC (1950),False
115,1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,BORN YESTERDAY,True
116,1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Spring Byington,LOUISA,False
117,1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Betty Hutton,ANNIE GET YOUR GUN,False
118,1950,1951,8,Henrietta Award (World Film Favorites),Gregory Peck,GREGORY PECK,True
119,1950,1951,8,Henrietta Award (World Film Favorites),Jane Wyman,JANE WYMAN,True
120,1950,1951,8,Cinematography - Color,Robert L. Surtees,KING SOLOMON'S MINES,True
121,1950,1951,8,Cinematography - Color,Ernest Palmer,BROKEN ARROW,False
122,1950,1951,8,Cinematography - Color,George Barnes,SAMSON AND DELILAH,False
123,1950,1951,8,Cinematography - Black And White,Franz F. Planer,CYRANO DE BERGERAC (1950),True
124,1950,1951,8,Cinematography - Black And White,Harold Rosson,THE ASPHALT JUNGLE,False
125,1950,1951,8,Cinematography - Black And White,John F. Seitz,SUNSET BOULEVARD,False
126,1951,1952,9,Best Motion Picture - Drama,A Place In The Sun,A PLACE IN THE SUN,True
127,1951,1952,9,Best Motion Picture - Drama,Quo Vadis?,QUO VADIS?,False
128,1951,1952,9,Best Motion Picture - Drama,A Streetcar Named Desire (1951),A STREETCAR NAMED DESIRE (1951),False
129,1951,1952,9,Best Motion Picture - Drama,Bright Victory,BRIGHT VICTORY,False
130,1951,1952,9,Best Motion Picture - Drama,Detective Story,DETECTIVE STORY,False
131,1951,1952,9,Best Motion Picture - Musical or Comedy,An American In Paris,AN AMERICAN IN PARIS,True
132,1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Jane Wyman,THE BLUE VEIL,True
133,1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Vivien Leigh,A STREETCAR NAMED DESIRE (1951),False
134,1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Shelley Winters,A PLACE IN THE SUN,False
135,1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Fredric March,DEATH OF A SALESMAN (1951),True
136,1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Kirk Douglas,DETECTIVE STORY,False
137,1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Arthur Kennedy,BRIGHT VICTORY,False
138,1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,ON THE RIVIERA,True
139,1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bing Crosby,HERE COMES THE GROOM,False
140,1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Kelly,AN AMERICAN IN PARIS,False
141,1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Hunter,A STREETCAR NAMED DESIRE (1951),True
142,1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,DETECTIVE STORY,False
143,1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Thelma Ritter,"MATING SEASON, THE",False
144,1951,1952,9,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Ustinov,QUO VADIS?,True
145,1951,1952,9,Best Director - Motion Picture,Laslo Benedek,DEATH OF A SALESMAN (1951),True
146,1951,1952,9,Best Director - Motion Picture,Vincente Minnelli,AN AMERICAN IN PARIS,False
147,1951,1952,9,Best Director - Motion Picture,George Stevens,A PLACE IN THE SUN,False
148,1951,1952,9,Best Screenplay - Motion Picture,Robert Buckner,BRIGHT VICTORY,True
149,1951,1952,9,Best Original Score - Motion Picture,Victor Young,SEPTEMBER AFFAIR,True
150,1951,1952,9,Best Original Score - Motion Picture,Bernard Herrmann,THE DAY THE EARTH STOOD STILL,False
151,1951,1952,9,Best Original Score - Motion Picture,Dimitri Tiomkin,THE WELL,False
152,1951,1952,9,Promoting International Understanding,Robert Wise,THE DAY THE EARTH STOOD STILL,True
153,1951,1952,9,Special Achievement Award,Alain Resnais,PICTURA ,False
154,1951,1952,9,New Star Of The Year - Actress,Pier Angeli,TERESA,True
155,1951,1952,9,New Star Of The Year - Actor,Kevin McCarthy,DEATH OF A SALESMAN (1951),True
156,1951,1952,9,Actress In A Leading Role - Musical Or Comedy,June Allyson,TOO YOUNG TO KISS,True
157,1951,1952,9,Henrietta Award (World Film Favorite),Esther Williams,ESTHER WILLIAMS,True
158,1951,1952,9,Henrietta Award (World Film Favorite),Alan Ladd,ALAN LADD,True
159,1951,1952,9,Cinematography - Color,William V. Skall,QUO VADIS?,True
160,1951,1952,9,Cinematography - Black And White,Franz F. Planer,DEATH OF A SALESMAN (1951),True
161,1951,1952,9,Cinematography - Black And White,Franz F. Planer,DECISION BEFORE DAWN,False
162,1951,1952,9,Cinematography - Black And White,William C. Mellor,A PLACE IN THE SUN,False
163,1952,1953,10,Best Motion Picture - Drama,The Greatest Show On Earth,THE GREATEST SHOW ON EARTH,True
164,1952,1953,10,Best Motion Picture - Drama,"Come Back, Little Sheba","COME BACK, LITTLE SHEBA",False
165,1952,1953,10,Best Motion Picture - Drama,The Happy Time,THE HAPPY TIME,False
166,1952,1953,10,Best Motion Picture - Drama,High Noon,HIGH NOON,False
167,1952,1953,10,Best Motion Picture - Drama,The Thief,THE THIEF,False
168,1952,1953,10,Best Motion Picture - Musical or Comedy,With a Song in My Heart,WITH A SONG IN MY HEART,True
169,1952,1953,10,Best Motion Picture - Musical or Comedy,Hans Christian Andersen,HANS CHRISTIAN ANDERSEN,False
170,1952,1953,10,Best Motion Picture - Musical or Comedy,I'll See You in My Dreams,I'LL SEE YOU IN MY DREAMS,False
171,1952,1953,10,Best Motion Picture - Musical or Comedy,Singin' in the Rain,SINGIN' IN THE RAIN,False
172,1952,1953,10,Best Motion Picture - Musical or Comedy,Star and Stripes Forever,STAR AND STRIPES FOREVER,False
173,1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Shirley Booth,"COME BACK, LITTLE SHEBA",True
174,1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Joan Crawford,SUDDEN FEAR,False
175,1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Olivia de Havilland,MY COUSIN RACHEL,False
176,1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,HIGH NOON,True
177,1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Charles Boyer,THE HAPPY TIME,False
178,1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Ray Milland,THE THIEF,False
