year_film,year_award,ceremony,category,nominee,title,win
1951,1952,9,Actress In A Leading Role - Musical Or Comedy,June Allyson,Too Young To Kiss,TRUE
1951,1952,9,Henrietta Award (World Film Favorite),Esther Williams,,TRUE
1951,1952,9,Henrietta Award (World Film Favorite),Alan Ladd,,TRUE
1951,1952,9,Cinematography - Color,William V. Skall,Quo Vadis?,TRUE
1951,1952,9,Cinematography - Black And White,Franz F. Planer,Death of a Salesman (1951),TRUE
1951,1952,9,Cinematography - Black And White,Franz F. Planer,Decision Before Dawn,FALSE
1951,1952,9,Cinematography - Black And White,William C. Mellor,A Place In The Sun,FALSE
1952,1953,10,Best Motion Picture - Drama,The Greatest Show On Earth,,TRUE
1952,1953,10,Best Motion Picture - Drama,"Come Back, Little Sheba",,FALSE
1952,1953,10,Best Motion Picture - Drama,The Happy Time,,FALSE
1952,1953,10,Best Motion Picture - Drama,High Noon,,FALSE
1952,1953,10,Best Motion Picture - Drama,The Thief,,FALSE
1952,1953,10,Best Motion Picture - Musical or Comedy,With a Song in My Heart,,TRUE
1952,1953,10,Best Motion Picture - Musical or Comedy,Hans Christian Andersen,,FALSE
1952,1953,10,Best Motion Picture - Musical or Comedy,I'll See You in My Dreams,,FALSE
1952,1953,10,Best Motion Picture - Musical or Comedy,Singin' in the Rain,,FALSE
1952,1953,10,Best Motion Picture - Musical or Comedy,Star and Stripes Forever,,FALSE
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Shirley Booth,"Come Back, Little Sheba",TRUE
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Joan Crawford,Sudden Fear,FALSE
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Olivia de Havilland,My Cousin Rachel,FALSE
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,High Noon,TRUE
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Charles Boyer,The Happy Time,FALSE
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Ray Milland,The Thief,FALSE
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Donald O'Connor,Singin' in the Rain,TRUE
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,Hans Christian Andersen,FALSE
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Clifton Webb,Stars and Stripes Forever,FALSE
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katy Jurado,High Noon,TRUE
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mildred Dunnock,Viva Zapata!,FALSE
